1980,[0. 1.]
1981,[0. 3.]
1982,[5. 2.]
1983,[3. 2.]
1984,[4. 0.]
1985,[2. 3.]
1986,[5. 7.]
1987,[15.  9.]
1988,[2. 2.]
1989,[1. 1.]
1990,[3. 4.]
1991,[1. 0.]
1992,[1. 0.]
1993,[8. 0.]
1994,[3. 6.]
1995,[5. 0.]
1996,[2. 0.]
1997,[2. 0.]
1998,[0. 1.]
1999,[2. 0.]
2000,[3. 5.]
2001,[0. 0.]
2002,[1. 1.]
2003,[0. 1.]
2004,[0. 0.]
2005,[0. 0.]
2006,[1. 5.]
2007,[2. 2.]
2008,[1. 3.]
2009,[1. 2.]
2010,[0. 1.]
2011,[1. 2.]
2012,[0. 0.]
2013,[2. 5.]
2014,[3. 1.]
2015,[0. 1.]
2016,[1. 2.]
2017,[0. 0.]
2018,[3. 0.]
2019,[2. 2.]
2020,[1. 2.]
2021,[0. 1.]
2022,[1. 0.]
2023,[1. 3.]
2024,[0. 3.]
2025,[14.  7.]
2026,[1. 1.]
2027,[3. 2.]
2028,[1. 0.]
2029,[3. 1.]
2030,[1. 0.]
2031,[6. 8.]
2032,[4. 1.]
2033,[2. 2.]
2034,[5. 1.]
2035,[39. 54.]
2036,[1. 1.]
2037,[13.  4.]
2038,[2. 1.]
2039,[0. 0.]
2040,[3. 0.]
2041,[3. 0.]
2042,[0. 2.]
2043,[1. 0.]
2044,[1. 0.]
2045,[0. 0.]
2046,[0. 0.]
2047,[2. 5.]
2048,[0. 0.]
2049,[5. 6.]
2050,[13.  0.]
2051,[3. 6.]
2052,[2. 1.]
2053,[4. 5.]
2054,[ 4. 10.]
2055,[6. 7.]
2056,[1. 4.]
2057,[1. 0.]
2058,[2. 1.]
2059,[3. 3.]
2060,[3. 0.]
2061,[0. 6.]
2062,[1. 0.]
2063,[0. 0.]
2064,[0. 0.]
2065,[2. 0.]
2066,[3. 2.]
2067,[2. 0.]
2068,[1. 7.]
2069,[0. 2.]
2070,[3. 1.]
2071,[2. 1.]
2072,[4. 2.]
2073,[2. 0.]
2074,[0. 1.]
2075,[0. 0.]
2076,[2. 4.]
2077,[0. 1.]
2078,[1. 1.]
2079,[1. 1.]
2080,[5. 3.]
2081,[10.  0.]
2082,[0. 0.]
2083,[2. 6.]
2084,[ 4. 10.]
2085,[4. 2.]
2086,[0. 0.]
2087,[8. 0.]
2088,[4. 6.]
2089,[4. 3.]
2090,[4. 8.]
2091,[0. 2.]
2092,[0. 0.]
2093,[0. 1.]
2094,[1. 2.]
2095,[0. 1.]
2096,[3. 2.]
2097,[0. 1.]
2098,[3. 1.]
2099,[1. 2.]
2100,[2. 3.]
2101,[0. 1.]
2102,[3. 3.]
2103,[2. 7.]
2104,[0. 0.]
2105,[0. 2.]
2106,[0. 0.]
2107,[0. 1.]
2108,[2. 3.]
2109,[1. 2.]
2110,[3. 0.]
2111,[0. 0.]
2112,[0. 3.]
2113,[1. 0.]
2114,[0. 6.]
2115,[4. 2.]
2116,[1. 0.]
2117,[0. 1.]
2118,[1. 0.]
2119,[10.  1.]
2120,[1. 1.]
2121,[3. 2.]
2122,[0. 0.]
2123,[1. 0.]
2124,[1. 1.]
2125,[23. 18.]
2126,[0. 1.]
2127,[1. 0.]
2128,[0. 0.]
2129,[1. 1.]
2130,[2. 0.]
2131,[0. 0.]
2132,[0. 0.]
2133,[1. 0.]
2134,[0. 0.]
2135,[3. 3.]
2136,[0. 1.]
2137,[2. 3.]
2138,[0. 0.]
2139,[1. 2.]
2140,[2. 1.]
2141,[ 3. 10.]
2142,[1. 6.]
2143,[2. 1.]
2144,[5. 8.]
2145,[2. 0.]
2146,[2. 0.]
2147,[5. 9.]
2148,[0. 0.]
2149,[9. 3.]
2150,[6. 9.]
2151,[2. 1.]
2152,[0. 2.]
2153,[1. 0.]
2154,[2. 5.]
2155,[2. 0.]
2156,[4. 1.]
2157,[3. 4.]
2158,[0. 1.]
2159,[6. 2.]
2160,[5. 9.]
2161,[0. 2.]
2162,[5. 1.]
2163,[1. 0.]
2164,[ 9. 27.]
2165,[0. 1.]
2166,[0. 0.]
2167,[4. 3.]
2168,[3. 7.]
2169,[0. 1.]
2170,[2. 0.]
2171,[0. 6.]
2172,[2. 4.]
2173,[1. 1.]
2174,[0. 1.]
2175,[0. 1.]
2176,[3. 4.]
2177,[6. 1.]
2178,[0. 0.]
2179,[3. 0.]
2180,[0. 4.]
2181,[0. 0.]
2182,[0. 0.]
2183,[1. 0.]
2184,[1. 0.]
2185,[2. 0.]
2186,[0. 0.]
2187,[1. 0.]
2188,[1. 0.]
2189,[0. 0.]
2190,[1. 3.]
2191,[0. 0.]
2192,[3. 0.]
2193,[1. 1.]
2194,[2. 1.]
2195,[7. 3.]
2196,[4. 8.]
2197,[18. 18.]
2198,[0. 0.]
2199,[1. 0.]
2200,[3. 4.]
2201,[0. 0.]
2202,[9. 6.]
2203,[1. 0.]
2204,[1. 0.]
2205,[3. 8.]
2206,[0. 1.]
2207,[1. 2.]
2208,[6. 4.]
2209,[3. 1.]
2210,[0. 0.]
2211,[3. 0.]
2212,[10. 13.]
2213,[1. 1.]
2214,[5. 8.]
2215,[ 5. 11.]
2216,[10. 25.]
2217,[0. 0.]
2218,[4. 0.]
2219,[4. 7.]
2220,[4. 7.]
2221,[0. 0.]
2222,[1. 1.]
2223,[0. 0.]
2224,[1. 0.]
2225,[6. 7.]
2226,[1. 0.]
2227,[ 4. 11.]
2228,[12. 10.]
2229,[8. 7.]
2230,[0. 2.]
2231,[0. 0.]
2232,[1. 0.]
2233,[1. 7.]
2234,[0. 1.]
2235,[0. 1.]
2236,[0. 0.]
2237,[1. 1.]
2238,[0. 0.]
2239,[1. 7.]
2240,[0. 1.]
2241,[0. 1.]
2242,[2. 1.]
2243,[3. 6.]
2244,[0. 0.]
2245,[1. 0.]
2246,[1. 3.]
2247,[1. 0.]
2248,[0. 1.]
2249,[0. 5.]
2250,[0. 5.]
2251,[2. 3.]
2252,[1. 0.]
2253,[1. 2.]
2254,[4. 3.]
2255,[5. 6.]
2256,[1. 7.]
2257,[1. 1.]
2258,[1. 1.]
2259,[1. 0.]
2260,[2. 2.]
2261,[2. 2.]
2262,[0. 0.]
2263,[1. 3.]
2264,[10. 10.]
2265,[0. 7.]
2266,[1. 1.]
2267,[2. 0.]
2268,[1. 1.]
2269,[0. 0.]
2270,[4. 3.]
2271,[1. 0.]
2272,[1. 0.]
2273,[3. 1.]
2274,[4. 3.]
2275,[0. 1.]
2276,[0. 5.]
2277,[0. 2.]
2278,[1. 4.]
2279,[0. 0.]
2280,[0. 0.]
2281,[1. 0.]
2282,[5. 1.]
2283,[1. 5.]
2284,[2. 8.]
2285,[0. 3.]
2286,[2. 0.]
2287,[3. 1.]
2288,[1. 0.]
2289,[3. 1.]
2290,[0. 2.]
2291,[3. 3.]
2292,[3. 2.]
2293,[0. 1.]
2294,[2. 8.]
2295,[0. 0.]
2296,[4. 0.]
2297,[2. 3.]
2298,[1. 0.]
2299,[1. 0.]
2300,[1. 1.]
2301,[5. 2.]
2302,[0. 1.]
2303,[0. 1.]
2304,[1. 2.]
2305,[0. 2.]
2306,[4. 0.]
2307,[0. 0.]
2308,[3. 3.]
2309,[4. 2.]
2310,[6. 1.]
2311,[0. 0.]
2312,[1. 1.]
2313,[8. 4.]
2314,[2. 6.]
2315,[0. 0.]
2316,[2. 0.]
2317,[3. 0.]
2318,[1. 0.]
2319,[1. 0.]
2320,[0. 0.]
2321,[3. 2.]
2322,[0. 0.]
2323,[1. 1.]
2324,[0. 3.]
2325,[1. 3.]
2326,[0. 1.]
2327,[1. 0.]
2328,[1. 2.]
2329,[0. 1.]
2330,[1. 0.]
2331,[0. 0.]
2332,[1. 0.]
2333,[0. 0.]
2334,[5. 1.]
2335,[2. 1.]
2336,[3. 3.]
2337,[1. 2.]
2338,[0. 0.]
2339,[1. 2.]
2340,[1. 1.]
2341,[0. 0.]
2342,[1. 2.]
2343,[2. 2.]
2344,[3. 0.]
2345,[1. 0.]
2346,[3. 0.]
2347,[0. 0.]
2348,[3. 0.]
2349,[1. 1.]
2350,[0. 1.]
2351,[2. 2.]
2352,[ 3. 10.]
2353,[7. 7.]
2354,[2. 1.]
2355,[4. 0.]
2356,[1. 4.]
2357,[1. 1.]
2358,[1. 0.]
2359,[0. 1.]
2360,[3. 1.]
2361,[3. 4.]
2362,[4. 0.]
2363,[0. 4.]
2364,[4. 3.]
2365,[0. 0.]
2366,[1. 1.]
2367,[0. 0.]
2368,[3. 3.]
2369,[0. 2.]
2370,[2. 5.]
2371,[1. 0.]
2372,[7. 5.]
2373,[0. 0.]
2374,[7. 6.]
2375,[0. 0.]
2376,[1. 1.]
2377,[1. 0.]
2378,[0. 0.]
2379,[1. 2.]
2380,[3. 2.]
2381,[3. 3.]
2382,[1. 7.]
2383,[7. 1.]
2384,[1. 4.]
2385,[0. 1.]
2386,[2. 1.]
2387,[14. 14.]
2388,[1. 0.]
2389,[5. 3.]
2390,[1. 2.]
2391,[2. 4.]
2392,[1. 1.]
2393,[3. 3.]
2394,[0. 1.]
2395,[0. 1.]
2396,[7. 9.]
2397,[0. 1.]
2398,[4. 4.]
2399,[0. 0.]
2400,[1. 5.]
2401,[6. 4.]
2402,[0. 0.]
2403,[10.  6.]
2404,[1. 0.]
2405,[0. 0.]
2406,[3. 6.]
2407,[0. 1.]
2408,[11.  5.]
2409,[1. 0.]
2410,[3. 2.]
2411,[4. 2.]
2412,[0. 0.]
2413,[0. 1.]
2414,[0. 2.]
2415,[4. 0.]
2416,[1. 0.]
2417,[1. 0.]
2418,[0. 1.]
2419,[1. 3.]
2420,[0. 0.]
2421,[0. 3.]
2422,[0. 1.]
2423,[0. 1.]
2424,[0. 2.]
2425,[1. 1.]
2426,[0. 1.]
2427,[0. 2.]
2428,[14.  3.]
2429,[2. 0.]
2430,[2. 0.]
2431,[19.  9.]
2432,[23. 20.]
2433,[0. 0.]
2434,[2. 2.]
2435,[3. 7.]
2436,[0. 0.]
2437,[2. 1.]
2438,[0. 0.]
2439,[2. 1.]
2440,[0. 0.]
2441,[0. 3.]
2442,[0. 1.]
2443,[0. 3.]
2444,[ 0. 14.]
2445,[0. 1.]
2446,[0. 1.]
2447,[0. 0.]
2448,[2. 0.]
2449,[6. 3.]
2450,[2. 0.]
2451,[1. 0.]
2452,[1. 2.]
2453,[5. 9.]
2454,[0. 1.]
2455,[0. 2.]
2456,[0. 0.]
2457,[0. 0.]
2458,[0. 0.]
2459,[2. 1.]
2460,[0. 5.]
2461,[3. 0.]
2462,[0. 0.]
2463,[0. 1.]
2464,[0. 0.]
2465,[0. 0.]
2466,[0. 0.]
2467,[1. 0.]
2468,[0. 1.]
2469,[2. 1.]
2470,[6. 6.]
2471,[4. 1.]
2472,[1. 1.]
2473,[3. 1.]
2474,[2. 1.]
2475,[0. 1.]
2476,[0. 0.]
2477,[3. 2.]
2478,[ 6. 14.]
2479,[2. 2.]
2480,[7. 2.]
2481,[1. 2.]
2482,[1. 1.]
2483,[3. 2.]
2484,[1. 1.]
2485,[1. 1.]
2486,[2. 0.]
2487,[3. 1.]
2488,[0. 0.]
2489,[1. 0.]
2490,[8. 8.]
2491,[0. 1.]
2492,[0. 1.]
2493,[9. 6.]
2494,[1. 3.]
2495,[ 9. 11.]
2496,[2. 1.]
2497,[1. 1.]
2498,[1. 0.]
2499,[1. 2.]
2500,[0. 3.]
2501,[2. 3.]
2502,[0. 0.]
2503,[3. 1.]
2504,[0. 0.]
2505,[4. 2.]
2506,[4. 5.]
2507,[1. 0.]
2508,[1. 0.]
2509,[2. 4.]
2510,[0. 0.]
2511,[6. 5.]
2512,[0. 2.]
2513,[ 6. 13.]
2514,[2. 0.]
2515,[1. 0.]
2516,[0. 0.]
2517,[0. 0.]
2518,[5. 2.]
2519,[1. 0.]
2520,[3. 2.]
2521,[1. 3.]
2522,[1. 1.]
2523,[3. 1.]
2524,[2. 3.]
2525,[0. 0.]
2526,[4. 4.]
2527,[0. 1.]
2528,[0. 0.]
2529,[ 7. 19.]
2530,[0. 0.]
2531,[26. 26.]
